Cultivar,Variedad,Patrón,Parcela,Árbol,Vivo-M6-20_10_19,Sospecha-M6-20_10_19,Severidad-M6-20_11_19,M6-Inspección_Visual-20_11_19,Observaciones_M4
Limón,L_Pajarito,SxE,58,6,Verdadero,1,4,1,NA
Limón,Eureka,SxE,59,1,Verdadero,1,4,1,NA
Limón,Eureka,SxE,59,2,Verdadero,1,4,1,NA
Limón,Eureka,SxE,59,3,Verdadero,1,3,1,NA
Limón,Eureka,SxE,59,4,Verdadero,1,4,1,NA
Limón,Eureka,SxE,59,5,Verdadero,1,4,1,NA
Limón,Eureka,SxE,59,6,Verdadero,1,4,1,NA
Limón,Perrine,CPB4475,60,1,Verdadero,1,5,1,Clorosis
Limón,Perrine,CPB4475,60,2,Verdadero,1,5,1,Clorosis
Limón,Perrine,CPB4475,60,3,Verdadero,1,4,1,NA
Limón,Perrine,CPB4475,60,4,Verdadero,1,3,1,NA
Limón,Perrine,CPB4475,60,5,Verdadero,0,NA,0,NA
Limón,Perrine,CPB4475,60,6,Verdadero,0,NA,0,NA
